MCC_OBN_ID,MCC_TIPO_MOVIMIENTO,MCC_IMPORTE,MCC_FECHA_BAJA,MCC_TIPO_ORIGEN,MCC_CCC_ID,MCC_FECHA_MOVIMIENTO,OBN_PERIODO,OBN_CUOTA,OBN_TIPO_OBJETO_ID,OBN_OBJETO_ID,FECHA_PAGO,FECHA_PROCESO,OBJETO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20130000000017262878,C,525,01/01/1900,PAO,CPP,12/11/2015,2014,20,A,4928087,12/11/2015,03/05/2019,S/D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20130000000017880233,C,46.34,01/01/1900,NULO,P13,14/05/2014,2014,10,A,8280920,11/04/2014,03/05/2019,S/D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20130000000017680786,C,19.31,01/01/1900,NULO,P13,17/09/2014,2014,20,A,8278270,01/01/1900,03/05/2019,S/D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20130030003873072862,D,12.19,01/01/1900,PSV,130,02/05/2019,2014,50,A,8822720,02/05/2019,03/05/2019,035CVK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20130030003873072862,C,12.19,01/01/1900,PSV,130,02/05/2019,2014,50,A,8822720,02/05/2019,03/05/2019,035CVK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20130030003873072862,C,7.5,01/01/1900,PSV,480,02/05/2019,2014,50,A,8822720,02/05/2019,03/05/2019,035CVK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20130030003873072862,D,7.5,01/01/1900,NULO,600,19/11/2014,2014,50,A,8822720,02/05/2019,03/05/2019,035CVK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20130000000013727888,D,16.87,01/01/1900,ETA,132,14/12/2017,2014,10,A,8798028,15/04/2019,03/05/2019,039CPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20130030003873028861,D,6.19,01/01/1900,ETA,132,14/12/2017,2014,50,A,8798028,15/04/2019,03/05/2019,039CPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20130000000013727888,C,16.87,01/01/1900,PSV,132,15/04/2019,2014,10,A,8798028,15/04/2019,03/05/2019,039CPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20130000000013727888,C,16.87,01/01/1900,PAO,132,15/04/2019,2014,10,A,8798028,15/04/2019,03/05/2019,039CPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20130000000013727888,C,16.87,17/04/2019,PSV,132,15/04/2019,2014,10,A,8798028,15/04/2019,03/05/2019,039CPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20130000000013727888,D,16.87,17/04/2019,PSV,132,15/04/2019,2014,10,A,8798028,15/04/2019,03/05/2019,039CPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20130030003873028861,C,6.19,17/04/2019,PSV,132,15/04/2019,2014,50,A,8798028,15/04/2019,03/05/2019,039CPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20130030003873028861,D,6.19,17/04/2019,PSV,132,15/04/2019,2014,50,A,8798028,15/04/2019,03/05/2019,039CPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
